level,canton,number,abbr_de,abbr_fr,abbr_it,aliases,title_de
federal,,172.010.8,KOBV,OCAF,OCAF,KOBV|OCAF,Verordnung vom 20. Dezember 2024 über die Krisenorganisation der Bundesverwaltung (KOBV)
federal,,172.019,EMBAG,LMETA,LMeCA,EMBAG|LMECA|LMETA,Bundesgesetz vom 17. März 2023 über den Einsatz elektronischer Mittel zur Erfüllung von Behördenaufgaben (EMBAG)
federal,,172.019.1,DigiV,ONum,ODigi,DIGIV|ODIGI|ONUM,"Verordnung vom 2. April 2025 über die digitalen Dienste und die digitale Transformation in der Bundesverwaltung (Digitalisierungsverordnung, DigiV)"
federal,,172.019.2,VHIS,CHIJP,CAIGP,CAIGP|CHIJP|VHIS,Vereinbarung vom 13. Dezember 2024 zwischen den Kantonen und dem Bund über die Harmonisierung der Informatik in der Strafjustiz (VHIS)
federal,,172.021,VwVG,PA,PA,PA|VWVG,"Bundesgesetz vom 20. Dezember 1968 über das Verwaltungsverfahren (Verwaltungsverfahrensgesetz, VwVG)"
federal,,172.021.2,VeÜ-VwV,OCEl-PA,OCE-PA,OCE-PA|OCEL-PA|VEÜ-VWV,Verordnung vom 18. Juni 2010 über die elektronische Übermittlung im Rahmen eines Verwaltungsverfahrens (VeÜ-VwV)
federal,,172.023,BEKJ,LPCJ,LCEG,BEKJ|LCEG|LPCJ,Bundesgesetz vom 20. Dezember 2024 über die Plattformen für die elektronische Kommunikation in der Justiz (BEKJ)
federal,,172.041.1,AllgGebV,OGEmol,OgeEm,ALLGGEBV|OGEEM|OGEMOL,Allgemeine Gebührenverordnung vom 8. September 2004 (AllgGebV)
federal,,172.041.11,GebV-Publ,OEmol-Publ,OEm-Pub,GEBV-PUBL|OEM-PUB|OEMOL-PUBL,"Verordnung vom 19. November 2014 über die Gebühren für den Bezug von Publikationen des Bundes (Gebührenverordnung Publikationen, GebV-Publ)"
federal,,172.041.14,GebV-BJ,Oem-OFJ,Oem UFG,GEBV-BJ|OEM UFG|OEM-OFJ,"Verordnung vom 5. Juli 2006 über Gebühren für Dienstleistungen des Bundesamtes für Justiz (Gebührenverordnung BJ, GebV-BJ)"
